"author","cluster","cor","n","PA_objectivity","PA_measure","PA_outcome","Age","Prop_women","Q_score","standard_error","Limb","z","var.z","cor_id"
"Cirillo, 2009","study 1",0.26,28,"Self-reported measure","IPAQ","MET-min/week",24.4,0.46,12,0.2,"Upper Limb",0.266108406873654,0.04,1
"Hassanlouei, 2017a","study 2",-0.18,24,"Device-based measure","Accelerometer","Steps/day",22.6,0.5,13,0.21,"Lower Limb",-0.181982688600706,0.0476190476190476,2
"Hassanlouei, 2017b","study 3",0.02,38,"Device-based measure","Accelerometer","Steps/day",70.5,0.45,13,0.16,"Lower Limb",0.0200026673068496,0.0285714285714286,3
"Lulic, 2017","study 4",0.12,28,"Self-reported measure","IPAQ","MET-min/week",22.1,0.6,13,0.2,"Upper Limb",0.120581028408444,0.04,4
"Houde, 2018","study 5",0.225,26,"Self-reported measure","Ad-hoc questionnaire ","Frequency",70,0.5,13,0.208,"Upper Limb",0.22891654681274,0.0434782608695652,5
"EL-Sayes, 2019","study 6",-0.24,34,"Self-reported measure","IPAQ","MET-min/week",21,0.5,13,0.17,"Upper Limb",-0.244774112659353,0.032258064516129,6
"Rozand, 2019a","study 7",0.28,28,"Device-based measure","Accelerometer","Steps/day",24,0.5,12,0.2,"Upper Limb",0.287682072451781,0.04,7
"Rozand, 2019b","study 8",-0.08,27,"Device-based measure","Accelerometer","Steps/day",72,0.48,12,0.201,"Upper Limb",-0.0801713250375897,0.0416666666666667,8
"Hu, 2021","study 9",-0.12,29,"Self-reported measure","IPAQ","MET-min/week",19.3,1,15,0.19,"Upper Limb",-0.120581028408444,0.0384615384615385,9
"Neva, 2021","study 10",-0.16,23,"Self-reported measure","IPAQ","MET-min/week",27,0.52,16,0.224,"Upper Limb",-0.161386696131526,0.05,10
"Neva, 2021","study 10",-0.17,23,"Self-reported measure","IPAQ","MET-min/week",27,0.52,16,0.224,"Upper Limb",-0.171666663500579,0.05,11
"Neva, 2021","study 10",-0.17,23,"Self-reported measure","IPAQ","MET-min/week",27,0.52,16,0.224,"Upper Limb",-0.171666663500579,0.05,12
"Neva, 2021","study 10",-0.01,23,"Self-reported measure","IPAQ","MET-min/week",27,0.52,16,0.224,"Upper Limb",-0.0100003333533348,0.05,13
"Neva, 2021","study 10",0.11,23,"Self-reported measure","IPAQ","MET-min/week",27,0.52,16,0.224,"Upper Limb",0.110446915790097,0.05,14
"Neva, 2021","study 10",-0.04,23,"Self-reported measure","IPAQ","MET-min/week",27,0.52,16,0.224,"Upper Limb",-0.0400213538367682,0.05,15
"Smith, 2021","study 11",0.185,34,"Device-based measure","Accelerometer","Active time",66.9,0.44,18,0.17,"Upper Limb",0.187154970164184,0.032258064516129,16
"Hand, 2022b","study 12",-0.1,28,"Self-reported measure","IPAQ","MET-min/week",23,0.25,14,0.2,"Upper Limb",-0.100335347731076,0.04,17
"Wang, 2023","study 13",0.16,40,"Self-reported measure","PAQ","Active time",25,0.35,12,0.16,"Upper Limb",0.161386696131526,0.027027027027027,18
"Ross, 2024","study 14",-0.02,16,"Self-reported measure","IPAQ","MET-min/week",27.2,0.88,16,0.27,"Upper Limb",-0.0200026673068496,0.0769230769230769,19
"Diognet, 2025","Study 15",-0.002,45,"Self-reported measure","IPAQ","MET-min/week",23.1,NA,16,0.15,"Upper Limb",-0.00200000266667307,0.0238095238095238,20
"Harroum, 2025","study 16",-0.27,30,"Self-reported measure","IPAQ","MET-min/week",27.6,0.5,16,0.19,"Upper Limb",-0.2768638226551,0.037037037037037,21
"Harroum, 2025","study 16",0.03,30,"Self-reported measure","IPAQ","MET-min/week",27.6,0.5,16,0.19,"Upper Limb",0.0300090048631265,0.037037037037037,22
"Harroum, 2025","study 16",-0.27,30,"Self-reported measure","IPAQ","MET-min/week",27.6,0.5,16,0.19,"Upper Limb",-0.2768638226551,0.037037037037037,23
"Harroum, 2025","study 16",0.05,30,"Self-reported measure","IPAQ","MET-min/week",27.6,0.5,16,0.19,"Upper Limb",0.0500417292784913,0.037037037037037,24
"Hougland, 2025","study 17",0.4,15,"Self-reported measure","IPAQ","MET-min/week",27.5,0.65,12,0.28,"Upper Limb",0.423648930193602,0.0833333333333333,25
"Hougland, 2025","study 17",-0.6,16,"Self-reported measure","IPAQ","MET-min/week",27.5,0.65,12,0.27,"Lower Limb",-0.693147180559945,0.0769230769230769,26
"Farajzadeh, 2026","study 18",-0.15,52,"Device-based measure","Accelerometer","Steps/day",32.6,0.63,13,0.14,"Upper Limb",-0.151140435936467,0.0204081632653061,27
